a	b	nSites	R0	R1	KING
16	51	276	18.009550	0.034908	-2.771200
16	52	209	33.298495	0.015273	-1.919478
16	53	246	24780.107518	0.000024	-3.079446
16	54	300	6.030662	0.116992	-2.448845
16	55	188	6597880.779106	0.000000	-1.402125
17	18	68	8422.307996	0.000018	-0.347853
17	19	27	358509950223237120.000000	0.000000	-6.921655
17	20	57	212030448042656064.000000	0.000000	-1.227969
17	21	-1	-1	-1	-1
17	22	1	0.000000	0.000000	0.000000
17	23	-1	-1	-1	-1
17	24	66	108236106.475600	0.000000	-1.498804
17	25	8	5896221677944998423438925922769682732742494742642688.000000	0.000000	-881560.504902
17	26	68	2587209.182470	0.000000	-0.781952
17	27	68	18244075918932836352000.000000	0.000000	-0.873578
17	28	3	277865622732.979736	0.000000	-574957.170815
17	29	76	547100.200955	0.000001	-0.781668
17	30	2	0.000000	0.000000	0.000000
17	31	71	781787.625439	0.000001	-1.836421
17	32	-1	-1	-1	-1
17	33	-1	-1	-1	-1
17	34	-1	-1	-1	-1
17	35	-1	-1	-1	-1
17	36	-1	-1	-1	-1
17	37	6	33835.857613	0.000003	-0.259005
17	38	1	60404245.162067	0.000000	-20183275.732057
17	39	61	3160.496196	0.000110	-1.065297
17	40	23	123701696.419031	0.000000	-3.139297
17	41	66	32695.200502	0.000016	-2.142286
17	42	-1	-1	-1	-1
17	43	67	10075.903173	0.000065	-3.711402
17	44	66	131689727.049800	0.000000	-0.633767
17	45	68	1.795745	0.278324	-0.682477
17	46	68	5652.440990	0.000024	-0.315748
17	47	35	41760312.317551	0.000000	-2.729851
17	48	58	859062629468297728.000000	0.000000	-2.654584
17	49	68	16238.728655	0.000039	-3.352524
17	50	66	245285.035431	0.000002	-2.893440
17	51	69	25596.112658	0.000022	-2.524498
17	52	56	29126.298798	0.000007	-0.554107
17	53	61	19797254440661281857896160690176.000000	0.000000	-0.799286
17	54	68	163634748498.996887	0.000000	-0.174632
17	55	65	18213.470361	0.000019	-1.038126
18	19	1821	2.866930	0.108615	-0.567613
18	20	7539	2.785337	0.129733	-0.660233
